actors0,actors1,actors2,year,id,type,genres2,genres3,directors1,genres4,genres5,genres6,genres7,genres8,genres9,directors2
Ray Winstone,Crispin Glover,Angelina Jolie,2007,tt0442933,add,Adventure,Fantasy,,,,,,,,
Gerard Butler,Tom Wilkinson,Idris Elba,2008,tt1032755,add,Thriller,,,,,,,,,
James McAvoy,Mark Strong,Andrea Riseborough,2013,tt1684233,add,Crime,Thriller,,,,,,,,
Jared Padalecki,Amanda Righetti,Derek Mears,2009,tt0758746,add,,,,,,,,,,
Nicolas Cage,Malin Akerman,Josh Lucas,2012,tt1656186,add,Drama,Thriller,,,,,,,,
Vera Farmiga,Peter Sarsgaard,Isabelle Fuhrman,2009,tt1148204,add,,,,,,,,,,
Bradley Cooper,Dennis Quaid,Olivia Wilde,2012,tt1840417,add,Romance,,Lee Sternthal,,,,,,,
Jason Statham,Saffron Burrows,Stephen Campbell Moore,2008,tt0200465,add,Thriller,,,,,,,,,
Kate Beckinsale,Scott Speedman,Shane Brolly,2003,tt0320691,add,Thriller,,,,,,,,,
Cameron Diaz,Jason Segel,Justin Timberlake,2011,tt1284575,add,,,,,,,,,,
Nicolas Cage,Chandler Canterbury,Rose Byrne,2009,tt0448011,add,Sci-Fi,Thriller,,,,,,,,
Julianne Moore,Michael Angarano,Greg Kinnear,2013,tt2055765,add,,,,,,,,,,
David Bowie,Jennifer Connelly,Toby Froud,1986,tt0091369,add,Fantasy,Musical,,,,,,,,
Tommy Lee Jones,Will Smith,Linda Fiorentino,1997,tt0119654,add,,,,,,,,,,
Bill Paxton,Anthony Edwards,Ben Kingsley,2004,tt0167456,add,Comedy,Family,,Sci-Fi,,,,,,
Kevin Spacey,Russell Crowe,Guy Pearce,1997,tt0119488,add,Mystery,Thriller,,,,,,,,
Rebecca Hall,Scarlett Johansson,Javier Bardem,2008,tt0497465,add,,,,,,,,,,
Ben Stiller,Jada Pinkett Smith,Chris Rock,2012,tt1277953,add,Comedy,Family,Tom McGrath,,,,,,,Conrad Vernon
Ben Burtt,Elissa Knight,Jeff Garlin,2008,tt0910970,add,Family,Romance,,Sci-Fi,,,,,,
Zac Efron,Taylor Swift,Danny DeVito,2012,tt1482459,add,Family,Fantasy,Kyle Balda,,,,,,,
Daniel Radcliffe,Emma Watson,Rupert Grint,2009,tt0417741,add,Fantasy,Mystery,,,,,,,,
Kevin Bacon,Lori Singer,John Lithgow,1984,tt0087277,add,Romance,,,,,,,,,
Ben Affleck,Matt Damon,Linda Fiorentino,1999,tt0120655,add,Fantasy,,,,,,,,,
Nicole Kidman,Tim Roth,André Penvern,2014,tt2095649,add,,,,,,,,,,
Jim Carrey,Maura Tierney,Justin Cooper,1997,tt0119528,add,,,,,,,,,,
Channing Tatum,Rosario Dawson,Chris Pratt,2011,tt1715873,add,Romance,,,,,,,,,
Robin Williams,Kirsten Dunst,Bonnie Hunt,1995,tt0113497,add,Fantasy,Thriller,,,,,,,,
Kristen Bell,Jason Segel,Paul Rudd,2008,tt0800039,add,Romance,,,,,,,,,
Gerard Butler,Jamie Foxx,Leslie Bibb,2009,tt1197624,add,Thriller,,,,,,,,,
Kurt Russell,Val Kilmer,Sam Elliott,1993,tt0108358,add,History,Romance,Kevin Jarre,Western,,,,,,
Alexandra Daddario,Tania Raymonde,Scott Eastwood,2013,tt1572315,add,,,,,,,,,,
Jim Carrey,Jude Law,Meryl Streep,2004,tt0339291,add,Family,Fantasy,,,,,,,,
Val Kilmer,Tommy Lee Jones,Jim Carrey,1995,tt0112462,add,Fantasy,,,,,,,,,
Michael J. Fox,Christopher Lloyd,Lea Thompson,1989,tt0096874,add,Sci-Fi,,,,,,,,,
Sarah Jessica Parker,Kim Cattrall,Kristin Davis,2010,tt1261945,add,Romance,,,,,,,,,
Leonardo DiCaprio,Daniel York,Patcharawan Patarakijjanon,2000,tt0163978,add,Romance,Thriller,,,,,,,,
Kevin Costner,James Earl Jones,Ray Liotta,1989,tt0097351,add,Fantasy,Sport,,,,,,,,
